Pays,TIME_PERIOD,Abonnements au téléphone cellulaire mobile utilisant des cartes prépayés,Investissements totaux dans les télécommunications (pour lignes fixes et réseau mobile cellulaire) USD,Total des abonnements au téléphone cellulaire mobile pour 100 habitants,Total des lignes d'accès téléphoniques,Total des recettes des télécommunications USD,Total des voies d'accès de communication pour 100 habitants
Islande,2008,141241.0,78800564.0,106.15,153129.0,275517725.0,187.06
Islande,2009,145310.0,27947112.0,106.66,146914.0,187206250.0,186.4
Islande,2010,158478.0,34749917.0,107.24,142482.0,205487057.0,186.38
Islande,2011,159129.0,33804103.0,107.86,136574.0,225317147.0,185.65
Islande,2012,164492.0,39085427.0,109.79,133276.0,213280719.0,186.71
Islande,2013,160583.0,45344307.0,110.04,124544.0,226711625.0,184.79
Islande,2014,162710.0,40711490.0,113.03,121308.0,248320114.0,186.72
Islande,2015,162141.0,38448257.0,116.05,117746.0,223763511.0,189.26
Islande,2016,170089.0,57058893.0,119.73,106805.0,234652147.0,189.74
Islande,2017,168759.0,68867332.0,119.59,96433.0,255824919.0,186.57
Islande,2018,175778.0,69727993.0,120.41,75716.0,244045116.0,180.59
Israël,1996,,,,1983990.0,,34.9
Israël,1999,,,49.62,2808313.0,,95.47
Israël,2000,,,69.54,2921000.0,,115.99
Israël,2001,,,85.43,2996000.0,,131.96
Israël,2002,,,95.89,2960730.0,,144.48
Israël,2003,,,98.93,2877140.0,,151.41
Israël,2004,,,106.06,2864500.0,,162.53
Israël,2005,,,111.93,2475785.0,,165.4
Israël,2006,2290025.0,,119.14,2613657.0,,176.33
Israël,2007,2274144.0,,125.11,2458948.0,,181.35
Israël,2008,2445231.0,,126.78,2851690.0,,188.6
Israël,2009,2616318.0,922057717.0,127.58,3264532.0,6515310565.0,194.65
Israël,2010,2603834.0,968900222.0,125.27,3264532.0,7325356788.0,191.94
Israël,2011,2591349.0,1012203025.0,126.08,2004862.0,8153211803.0,176.09
Israël,2012,2591349.0,803886010.0,123.77,2087316.0,6812563389.0,174.85
Israël,2013,2591349.10327456,649584488.0,121.48,2169770.0,6478980609.0,173.52
Israël,2014,,696648045.0,121.71,2206000.0,6233289665.0,173.84
Israël,2015,,721336761.0,123.73,2181000.0,5498650643.0,175.69
Israël,2016,,,120.83,,5290337240.0,172.83
Israël,2017,,,122.33,,5334645278.0,174.91
Israël,2018,,,122.06,,5138658774.0,174.07
Italie,1996,577207.0,,11.28,25022378.0,,55.29
Italie,1997,5527200.0,,20.67,25262700.0,,65.08
Italie,1998,15022000.0,,35.67,25134165.0,,79.84
Italie,1999,25257120.0,,52.83,24996430.0,,96.75
Italie,2000,37290000.0,6586111111.0,74.27,24494200.0,30042592593.0,117.28
Italie,2001,45792000.0,7208035714.0,89.68,24752933.0,32345535714.0,133.13
Italie,2002,47732000.0,8935849057.0,93.06,24798800.0,36423584906.0,138.23
Italie,2003,51705540.0,8962500000.0,98.93,26010802.0,47281818182.0,148.5
Italie,2004,57658689.0,8855318750.0,109.48,24800359.0,55210000000.0,160.62
Italie,2005,65731770.0,8609275875.0,123.92,24008100.0,58063750000.0,177.24
Italie,2006,72696064.0,8443750000.0,138.3,22666486.0,58828750000.0,191.72
Italie,2007,80604390.0,9812328767.0,154.24,22850079.0,63208219178.0,210.68
Italie,2008,80264112.0,9836764706.0,153.57,22556587.0,66479411765.0,211.1
Italie,2009,77046473.0,8641666667.0,152.35,24091642.0,60833333333.0,213.56
Italie,2010,79085236.0,8200000000.0,158.01,23930142.0,56208000000.0,220.41
Italie,2011,79736335.0,8345833333.0,163.85,23457295.0,56372222222.0,226.12
Italie,2012,78789757.0,8097504265.0,165.61,22981324.0,49507692308.0,227.32
Italie,2013,77647921.488,7929368080.0,164.05,22197351.0,46258602221.0,224.15
Italie,2014,75716830.0,8182858270.0,160.42,21521294.0,43204999759.0,219.42
Italie,2015,74621563.0,8098816201.0,159.54,21119193.0,35348441921.0,219.0
Italie,2016,73423928.0,7826562348.0,161.94,20974710.0,35463667876.0,222.09
Italie,2017,71755865.0,8071120924.0,165.46,21231336.0,36203989833.0,227.84
Italie,2018,71075209.0,9892650871.0,171.53,20772008.0,37148308391.0,234.15
Japon,1996,,,21.38,62632506.0,,71.14
Japon,1997,,,30.32,62849151.0,,80.13
Japon,1998,,,37.4,62626357.0,,86.91
Japon,1999,1907000.0,,44.87,62128858.0,,93.91
Japon,2000,1413671.0,36516061984.0,52.62,61957098.0,163253474993.0,101.43
Japon,2001,1847444.0,23917296141.0,58.78,61324051.0,156796165556.0,106.95
Japon,2002,2083958.0,19257460723.0,63.65,60772460.0,129352069543.0,117.56
Japon,2003,2609505.0,20422013284.0,67.9,60218496.0,139224833952.0,125.99
Japon,2004,2858073.0,23190766245.0,71.64,59607695.0,134732415195.0,132.94
Japon,2005,2725848.0,18930058066.0,75.51,58053419.0,132042397024.0,138.47
Japon,2006,2494138.0,21036827171.0,79.51,55164571.0,129867583835.0,142.77
Japon,2007,2109366.0,18486794055.0,83.84,51232022.0,129989808917.0,145.96
Japon,2008,1540932.0,23548935759.0,87.48,47299410.0,139372097523.0,147.92
Japon,2009,1098665.0,25322218660.0,87.62,43338640.0,151952548894.0,146.2
Japon,2010,1257500.0,16935520620.0,93.35,39568111.0,152292093871.0,150.81
Japon,2011,1370460.0,17982708934.0,100.29,35953256.0,166286179677.0,155.69
Japon,2012,1258211.0,17982203284.0,106.62,32743625.0,162364958015.0,159.93
Japon,2013,1047752.0,16427254098.0,113.03,30042234.0,139737704918.0,164.7
Japon,2014,926403.0,9584670568.0,120.01,27733001.0,129227864829.0,170.6
Japon,2015,754783.0,9881031064.0,123.19,25078411.0,115946794448.0,172.58
Japon,2016,599400.0,11018475963.0,128.81,22983971.0,130399852928.0,177.54
Japon,2017,518460.0,9756619417.0,134.32,21354067.0,125022733351.0,182.34
Japon,2018,443439.0,9911247962.0,140.63,19957340.0,0.0,188.1
Lettonie,2002,,,,,,0.43
Lettonie,2003,,,,,,0.85
Lettonie,2004,,,,,,2.17
Lettonie,2005,,,,,,2.71
Lettonie,2006,,,,,,4.94
Lettonie,2007,,,,,,15.39
Lettonie,2008,,,,,,18.93
Lettonie,2009,,,,,,20.4
Lettonie,2010,,,,,,20.72
Lettonie,2011,,,,,,22.1
Lettonie,2012,1218000.0,102564103.0,129.33,392106.0,,171.74
Lettonie,2013,1045000.0,86666667.0,128.19,308500.0,,168.01
Lettonie,2014,979802.0,150666667.0,119.57,400809.0,705910143.0,165.0
Lettonie,2015,845850.0,108888889.0,130.97,395602.0,597757803.0,176.74
Lettonie,2016,764119.0,97777778.0,134.0,362940.0,590388951.0,179.01
Lettonie,2017,609956.0,75430199.0,142.6,342296.0,611030646.0,187.32
Lettonie,2018,586889.0,91357082.0,145.24,266214.0,625850569.0,186.35
Lituanie,1997,,,4.62,1048198.0,,33.94
Lituanie,1998,,,6.8,1109768.0,,38.07
Lituanie,1999,,,9.34,1152600.0,,42.04
Lituanie,2000,,,14.54,1187700.0,,48.48
Lituanie,2001,,,28.66,1151700.0,,61.84
Lituanie,2002,,,47.78,935900.0,,75.55
Lituanie,2003,,348326591.0,61.55,824200.0,2279372603.0,87.64
Lituanie,2004,1736897.0,336736319.0,90.35,820040.0,2632497513.0,118.45
Lituanie,2005,2887716.0,345979772.0,131.03,756276.0,3144434740.0,160.84
Lituanie,2006,3160118.0,437739317.0,144.29,722249.0,3370300828.0,177.66
Lituanie,2007,3260289.0,642797407.0,152.29,727724.0,4074614890.0,190.52
Lituanie,2008,3248753.0,551631561.0,157.04,711470.0,4595289032.0,197.74
Lituanie,2009,3047252.0,415901512.0,156.86,670981.0,4003800791.0,198.12
Lituanie,2010,2873219.0,427604224.0,157.91,641539.0,3431345367.0,200.71
Lituanie,2011,2765481.0,499940892.0,163.07,604895.0,3326011459.0,207.22
Lituanie,2012,2711033.0,340769130.0,167.26,561202.0,2913410840.0,211.9
Lituanie,2013,2096601.0,399038187.0,151.95,507458.0,2859893915.0,194.95
Lituanie,2014,1803893.0,378818872.0,145.43,461486.0,2793310348.0,188.51
Lituanie,2015,1636272.0,87647927.0,144.03,422737.0,628616733.0,187.27
Lituanie,2016,1527680.0,108707971.0,125.52,385805.0,657603161.0,168.87
Lituanie,2017,1432007.0,86449488.0,130.83,344473.0,689177823.0,171.25
Lituanie,2018,1335878.0,95008205.0,134.38,274421.0,738475715.0,172.33
Luxembourg,1996,,,10.86,249737.0,,71.15
Luxembourg,1997,,,16.02,260177.0,,78.05
Luxembourg,1998,,,30.61,227610.0,,84.2
Luxembourg,1999,46631.0,,48.4,217375.0,,98.9
Luxembourg,2000,119560.0,15324074.0,69.51,248113.0,343222128.0,126.38
Luxembourg,2001,179416.0,30267857.0,97.93,250679.0,372247598.0,154.71
Luxembourg,2002,179416.0,49056604.0,106.01,250679.0,394339623.0,163.74
Luxembourg,2003,318000.0,44318182.0,119.35,246100.0,478409091.0,177.29
Luxembourg,2004,381200.0,73491250.0,141.02,244800.0,534125000.0,204.09
Luxembourg,2005,419200.0,55897500.0,154.68,244400.0,566925000.0,221.7
Luxembourg,2006,372000.0,87500000.0,151.07,245300.0,612250000.0,223.97
Luxembourg,2007,310000.0,109452055.0,142.5,254400.0,675616438.0,222.43
Luxembourg,2008,279000.0,129117647.0,144.69,260400.0,743529412.0,227.4
Luxembourg,2009,260000.0,135833333.0,144.64,264400.0,702361111.0,226.97
Luxembourg,2010,230000.0,122400000.0,143.41,268000.0,661680000.0,227.02
Luxembourg,2011,236000.0,159027778.0,147.58,274000.0,710305556.0,232.01
Luxembourg,2012,236000.0,170769231.0,143.42,236000.0,718589744.0,220.01
Luxembourg,2013,224500.0,201600000.0,145.12,218500.0,760000000.0,217.96
Luxembourg,2014,210000.0,208133333.0,158.72,270740.0,712933333.0,241.11
Luxembourg,2015,193000.0,146111111.0,159.06,276630.0,597777778.0,242.77
Luxembourg,2016,104000.0,124777778.0,153.33,276400.0,610444444.0,235.51
Luxembourg,2017,99000.0,116966292.0,156.29,275500.0,631910112.0,238.42
Luxembourg,2018,77000.0,94823529.0,156.56,273500.0,677176471.0,238.42
Mexique,1996,423365.0,,1.1,8826148.0,,10.56
Mexique,1997,981872.0,,1.84,9253715.0,,11.61
Mexique,1998,2282110.0,,3.48,9926879.0,,13.81
Mexique,1999,6327238.0,,7.93,10927385.0,,19.14
Mexique,2000,12449635.0,5226141498.0,14.25,12332816.0,14313828888.0,26.74
Mexique,2001,19974020.0,5750865995.0,21.73,13774356.0,16057092520.0,35.49
Mexique,2002,23921813.0,3129945818.0,25.55,14975295.0,17075684601.0,40.5
Mexique,2003,28069647.0,2584286148.0,29.25,16330276.0,17214090561.0,45.41
Mexique,2004,35942592.0,3614891414.0,36.88,18073405.0,19089706287.0,54.64
Mexique,2005,43860561.0,3512609941.0,44.6,19512148.0,22297444895.0,64.07
Mexique,2006,51091577.0,3698949849.0,51.7,19861380.0,26045590102.0,71.95
Mexique,2007,61360877.0,3272417644.0,61.21,19997941.0,29093714102.0,82.27
Mexique,2008,69118299.0,3648119487.0,68.27,20491430.0,30230071076.0,90.7
Mexique,2009,72997624.0,2891460017.0,74.24,19642590.0,27198130054.0,99.89
Mexique,2010,78287518.0,5673033866.0,79.53,20115904.0,30286369343.0,106.29
Mexique,2011,80488243.0,4985302084.0,81.98,19996800.0,31824020398.0,108.75
Mexique,2012,85743048.0,,86.68,20587800.0,,114.22
Mexique,2013,90399443.0,4761037442.0,90.12,19318472.0,31260476860.0,116.91
Mexique,2014,89075691.0,3638222653.0,87.5,19436314.0,32945885979.0,114.4
Mexique,2015,90647027.0,4605550716.0,88.74,19615886.0,28245982735.0,116.94
Mexique,2016,93936401.0,4558959529.0,91.05,19985434.0,24539219378.0,120.31
Mexique,2017,94840804.0,3247846028.0,92.17,19950121.0,24681862503.0,121.96
Mexique,2018,100099672.0,3002896668.0,95.89,20999933.0,25710906030.0,127.29
Norvège,1996,,,28.79,2484173.0,,85.49
Norvège,1997,,,38.06,2474964.0,,94.25
Norvège,1998,474152.0,,46.75,2475490.0,,102.61
Norvège,1999,1112793.0,,59.7,2445734.0,,114.51
Norvège,2000,1385280.0,577500000.0,72.25,2388438.0,2619886364.0,125.43
Norvège,2001,1513586.0,597107898.0,79.61,2317087.0,2814126808.0,130.94
Norvège,2002,1653500.0,707268170.0,83.52,2295257.0,3359523810.0,138.29
Norvège,2003,1666423.0,523870056.0,88.96,2201826.0,3990960452.0,145.37
Norvège,2004,1754055.0,550296736.0,98.54,2106355.0,4474777448.0,159.61
Norvège,2005,1735766.0,575931677.0,102.84,1931480.0,4754037267.0,167.23
Norvège,2006,1613537.0,639625585.0,107.45,1668901.0,4851170047.0,170.09
Norvège,2007,1406161.0,682593857.0,109.86,1509887.0,5336348123.0,172.04
Norvège,2008,1422196.0,709219858.0,109.29,1384481.0,5640780142.0,170.83
Norvège,2009,1432038.0,,110.89,1246887.0,5324380032.0,171.3
Norvège,2010,1290389.0,,109.86,1132092.0,5578961575.0,168.26
Norvège,2011,1358424.0,,112.0,1025694.0,5884221817.0,168.76
Norvège,2012,1326722.0,1338542612.0,111.85,911797.0,5690165710.0,166.94
Norvège,2013,1304469.0,1437975340.0,112.04,780743.0,5714949434.0,165.02
Norvège,2014,1259127.0,1427767460.0,111.69,668858.0,5356373268.0,163.19
Norvège,2015,1144623.0,1244447270.0,110.12,569669.0,4197669009.0,160.6
Norvège,2016,1023452.0,1342999643.0,109.42,485264.0,4074609658.0,158.93
Norvège,2017,889055.0,1319827207.0,108.39,407775.0,4170020085.0,157.15
Norvège,2018,755243.0,1356246740.0,107.7,328681.0,4173245985.0,155.43
Nouvelle-Zélande,1996,,,12.76,1719000.0,,58.82
Nouvelle-Zélande,1997,,,18.78,1753000.0,,65.14
Nouvelle-Zélande,1998,577254.0,,32.89,1763000.0,,79.11
Nouvelle-Zélande,1999,878940.0,,40.21,1759000.0,,86.07
Nouvelle-Zélande,2000,1487160.0,379090909.0,56.69,1749000.0,2224481364.0,102.03
Nouvelle-Zélande,2001,1661492.0,376766434.0,62.41,1765000.0,2117226891.0,107.9
Nouvelle-Zélande,2002,1737420.0,319624705.0,64.3,1801000.0,2464814815.0,111.54
Nouvelle-Zélande,2003,1797710.0,375552054.0,64.54,1847000.0,3095348837.0,112.98
Nouvelle-Zélande,2004,2115250.0,417735407.0,74.06,1843000.0,3525827815.0,123.83
Nouvelle-Zélande,2005,2460620.0,514537678.0,85.39,1847000.0,3749295775.0,139.12
Nouvelle-Zélande,2006,2595100.0,596103896.0,90.88,1851000.0,3194805195.0,146.83
Nouvelle-Zélande,2007,2877540.0,786764706.0,99.44,1854000.0,3602941176.0,161.26
Nouvelle-Zélande,2008,3096334.0,834507042.0,107.99,1861000.0,3464788732.0,173.15
Nouvelle-Zélande,2009,3104365.0,1059375000.0,109.24,1856000.0,3081250000.0,176.28
Nouvelle-Zélande,2010,3161925.0,1111510791.0,114.92,1789000.0,3568345324.0,181.96
Nouvelle-Zélande,2011,3168118.0,972440945.0,118.61,1774063.0,3960629921.0,186.69
Nouvelle-Zélande,2012,3200000.0,1032520325.0,122.5,1759125.0,4268292683.0,192.03
Nouvelle-Zélande,2013,3000000.0,1295081967.0,119.31,1729406.0,4270491803.0,189.04
Nouvelle-Zélande,2014,3370000.0,1396694215.0,124.18,1539000.0,4272727273.0,189.83
Nouvelle-Zélande,2015,3490000.0,1237762238.0,126.2,1232000.0,3573426573.0,185.07
Nouvelle-Zélande,2016,3700000.0,1105555556.0,129.98,1221000.0,3666666667.0,189.11
Nouvelle-Zélande,2017,3860000.0,1119148936.0,133.5,1271000.0,3808510638.0,193.87
Nouvelle-Zélande,2018,3720000.0,1142758621.0,131.0,1073000.0,3736551724.0,186.98
Pays-Bas,1996,,,6.54,8152000.0,,59.03
Pays-Bas,1997,,,10.82,9129000.0,,69.3
Pays-Bas,1998,1573090.0,,21.31,7767000.0,,70.76
Pays-Bas,1999,3938200.0,,42.94,8211000.0,,94.87
Pays-Bas,2000,7370000.0,3203703704.0,69.07,8174389.0,10243518519.0,120.4
Pays-Bas,2001,7500000.0,2671362500.0,71.67,7985000.0,11607142857.0,121.43
Pays-Bas,2002,7400000.0,1564150943.0,73.07,7852000.0,12987735849.0,128.73
Pays-Bas,2003,8100000.0,1842045455.0,80.74,7677000.0,16793181818.0,139.84
Pays-Bas,2004,10064000.0,3821085377.0,97.74,7434000.0,18888187500.0,162.34
Pays-Bas,2005,12028000.0,2702270229.0,99.81,5942000.0,18993000000.0,161.43
Pays-Bas,2006,9381900.0,3306065853.0,104.36,5776720.0,19202000000.0,170.68
Pays-Bas,2007,8171000.0,3754330077.0,112.64,6165720.0,18409805479.0,184.58
Pays-Bas,2008,8393000.0,4171278278.0,125.43,5422000.0,21011852941.0,194.0
Pays-Bas,2009,7628000.0,4072607643.0,125.12,4804000.0,19636266667.0,191.26
Pays-Bas,2010,6357000.0,3909703337.0,124.14,4080000.0,18679325333.0,186.79
Pays-Bas,2011,6252000.0,4072607643.0,130.88,3556000.0,19285916667.0,191.11
Pays-Bas,2012,5420000.0,3473718973.0,129.4,2486000.0,15642623098.0,183.95
Pays-Bas,2013,4815000.0,5636464000.0,127.94,2041000.0,17537764713.0,180.52
Pays-Bas,2014,4037000.0,3749080760.0,133.69,1696000.0,16135724000.0,184.37
Pays-Bas,2015,3655000.0,2587111367.0,139.26,1368000.0,12989662222.0,188.6
Pays-Bas,2016,3358000.0,2633476667.0,152.77,1108000.0,12024118889.0,201.69
Pays-Bas,2017,2910000.0,2547762921.0,149.14,904000.0,11879591011.0,196.97
Pays-Bas,2018,1981000.0,2643440000.0,157.19,699000.0,11593591765.0,204.23
Pologne,1996,,,0.57,6532394.0,,17.63
Pologne,1997,,,2.12,7510000.0,,21.73
Pologne,1998,462720.0,,5.04,8485000.0,,27.2
Pologne,1999,942285.0,,10.2,9533000.0,,35.11
Pologne,2000,2605691.0,2433733793.0,17.64,9614841.0,5426666667.0,42.77
Pologne,2001,5120000.0,1965249633.0,28.11,9657431.0,6583408313.0,53.36
Pologne,2002,7374699.0,2326078431.0,36.35,9809036.0,6904901961.0,62.31
Pologne,2003,9466935.0,1363496144.0,45.56,9977992.0,7649871465.0,72.46
Pologne,2004,13498371.0,1491860123.0,60.49,10034134.0,9589152091.0,88.92
Pologne,2005,18812776.0,2085582903.0,76.43,11740860.0,11442624437.0,109.61
Pologne,2006,24318517.0,2598183600.0,96.36,11394066.0,12915052804.0,133.42
Pologne,2007,26684062.0,3112956524.0,108.59,10299766.0,15152770770.0,144.26
Pologne,2008,24466002.0,3057772412.0,115.24,9453928.0,17883876791.0,150.53
Pologne,2009,23419352.0,2559526082.0,117.44,8493021.0,13849277471.0,154.28
Pologne,2010,24022111.0,2471537083.0,121.96,7685049.0,14307862818.0,157.91
Pologne,2011,26400311.0,2340991182.0,130.16,6858441.0,14597887064.0,165.12
Pologne,2012,29259705.0,1994547870.0,140.36,6350410.0,13292052858.0,175.1
Pologne,2013,30632716.0,2151024368.0,147.97,5846273.0,12741094672.0,181.14
Pologne,2014,30815614.0,2136624690.0,147.87,4823098.0,12595951953.0,178.39
Pologne,2015,27610369.0,1715281105.0,141.85,4319020.0,10518063581.0,171.7
Pologne,2016,22902371.0,,137.93,3940713.0,10071412060.0,166.51
Pologne,2017,17797277.0,,131.33,3463170.0,10441551010.0,158.7
Pologne,2018,13543649.0,,125.7,2864497.0,10850194569.0,153.36
Portugal,1996,,,6.59,3743729.0,,43.79
Portugal,1997,,,14.91,3867323.0,,53.16
Portugal,1998,2428960.0,,30.26,3893927.0,,68.59
Portugal,1999,3705968.0,,45.72,3892472.0,,83.81
Portugal,2000,5305301.0,1189862398.0,64.77,3766166.0,5095701767.0,101.37
Portugal,2001,6328969.0,1274415057.0,76.98,3778817.0,5994555020.0,113.45
Portugal,2002,7292684.0,966633231.0,88.32,3725595.0,6451763868.0,126.58
Portugal,2003,7928701.0,652815042.0,95.64,3657396.0,7932709310.0,135.41
Portugal,2004,8423515.0,848216529.0,100.83,3646544.0,9143144536.0,143.52
Portugal,2005,9211786.0,915880575.0,108.24,3572535.0,9218125504.0,153.35
Portugal,2006,9760816.0,969323735.0,116.29,3435848.0,9222550469.0,162.47
Portugal,2007,10341344.0,1670271246.0,127.83,3231455.0,10632547945.0,172.84
Portugal,2008,11080118.0,1468299955.0,141.63,2970220.0,11332604412.0,185.8
Portugal,2009,11702094.0,1464595517.0,151.88,2786569.0,10497329167.0,196.54
Portugal,2010,11879544.0,1435721005.0,155.81,2651593.0,10132965333.0,201.16
Portugal,2011,12066059.0,1249601497.0,159.08,2519310.0,9065269444.0,204.28
Portugal,2012,12032023.0,991875500.0,160.04,2345759.0,8483467949.0,205.12
Portugal,2013,11368124.0,989326816.0,159.37,2214434.0,8361841333.0,205.1
Portugal,2014,9562667.0,820828905.0,160.87,2058442.0,7694884000.0,208.13
Portugal,2015,8502881.0,697134593.0,162.1,1906957.0,6364621111.0,210.85
Portugal,2016,8302184.0,676892171.0,165.41,1698296.0,6501200000.0,214.55
Portugal,2017,8252493.0,727483322.0,169.43,1474658.0,6632064045.0,218.45
Portugal,2018,7236189.0,712216546.0,170.57,1231779.0,6915676471.0,219.35
Royaume-Uni,1996,,,11.72,29829000.0,,63.0
Royaume-Uni,1997,,,14.51,29827600.0,,65.66
Royaume-Uni,1998,2909975.0,,22.23,31442300.0,,76.0
Royaume-Uni,1999,12058515.0,,40.8,31646300.0,,94.72
Royaume-Uni,2000,27364590.0,14121545455.0,67.95,31823108.0,44226525677.0,121.99
Royaume-Uni,2001,30885226.0,14159395652.0,75.73,32070110.0,47477914085.0,129.98
Royaume-Uni,2002,34132700.0,10185074627.0,83.46,31212684.0,49101303927.0,138.35
Royaume-Uni,2003,35838407.0,10932786885.0,88.87,32048895.0,58836418392.0,147.83
Royaume-Uni,2004,39765075.0,20869204162.0,100.18,31331354.0,70129733227.0,162.66
Royaume-Uni,2005,43064148.0,18779037471.0,108.72,31087899.0,71471593333.0,176.56
Royaume-Uni,2006,45518728.0,17695786432.0,115.31,30645641.0,75772300648.0,187.08
Royaume-Uni,2007,47466048.0,18933938191.0,121.2,30575292.0,82921186821.0,196.51
Royaume-Uni,2008,47482741.0,10775740741.0,125.34,30345345.0,89393948816.0,202.36
Royaume-Uni,2009,47605201.0,8020312500.0,129.43,30015403.0,72834382423.0,207.12
Royaume-Uni,2010,44798118.0,7896923077.0,129.82,30292622.0,68977870705.0,209.34
Royaume-Uni,2011,42382669.0,8279032258.0,129.83,30246808.0,69110967334.0,210.38
Royaume-Uni,2012,39596983.0,,130.37,30404060.0,64757864404.0,212.38
Royaume-Uni,2013,35880703.6143544,,128.96,30648829.0,60850540372.0,212.27
Royaume-Uni,2014,34321997.0,,129.52,30915102.0,61783648701.0,214.08
Royaume-Uni,2015,33445521.0,,130.95,31235074.0,57163797022.0,216.8
Royaume-Uni,2016,29467818.0,,127.82,31363375.0,50723485083.0,214.4
Royaume-Uni,2017,27561623.0,,127.34,31182800.0,47304277280.0,214.0
Royaume-Uni,2018,25915331.0,,126.44,31919894.0,45120487329.0,214.5
République slovaque,1996,,,0.53,1246471.0,,23.73
République slovaque,1997,,,3.72,1391864.0,,29.57
République slovaque,1998,,,8.63,1539283.0,,37.19
République slovaque,1999,127007.0,,12.31,1655380.0,,42.99
République slovaque,2000,483441.0,40904881699.0,23.96,1697982.0,803391117.0,55.4
République slovaque,2001,1535671.0,42207095652.0,39.91,1556254.0,938704336.0,68.84
République slovaque,2002,1961330.0,19380089333.0,54.35,1402725.0,1026711301.0,80.44
République slovaque,2003,2284105.0,345478063.0,68.39,1294673.0,1346004404.0,92.81
République slovaque,2004,2444941.0,425009726.0,79.43,1250415.0,1624453184.0,103.62
République slovaque,2005,2392884.0,420303721.0,84.28,1197044.0,1856510133.0,108.98
République slovaque,2006,2381788.0,440384694.0,90.76,1167390.0,1948877844.0,116.93
République slovaque,2007,3096881.0,530112592.0,112.42,1150763.0,2532066459.0,140.63
République slovaque,2008,2307227.0,570643812.0,108.11,1097807.0,3150793475.0,138.54
République slovaque,2009,1979141.0,542616921.0,101.46,1013365.0,2949142242.0,134.47
République slovaque,2010,2140085.0,478761769.0,109.1,889792.0,2641651680.0,141.63
République slovaque,2011,1929921.0,520061399.0,110.83,820923.0,2707198490.0,143.69
République slovaque,2012,1859802.0,263046901.0,112.7,729482.0,2397814492.0,145.53
République slovaque,2013,1831444.0,299364792.0,114.69,704921.0,2362109143.0,148.2
République slovaque,2014,1823330.0,420593433.0,117.71,616471.0,2251838436.0,151.07
République slovaque,2015,1889334.0,348770432.0,123.08,522639.0,1843857269.0,156.2
République slovaque,2016,2041848.0,392060109.0,128.71,426171.0,1871510556.0,161.17
République slovaque,2017,2195428.0,426321116.0,130.86,371269.0,1870349329.0,163.51
République slovaque,2018,2104043.0,418600742.0,132.95,324020.0,2005728039.0,166.59
Slovénie,2002,901757.0,,85.62,700797.0,,123.58
Slovénie,2003,867009.0,,88.24,682717.0,,128.87
Slovénie,2004,877595.0,,92.57,746599.0,,135.66
Slovénie,2005,772823.0,236839635.0,87.91,744345.0,1189920298.0,134.84
Slovénie,2006,734775.0,311388959.0,90.59,721355.0,1310528293.0,140.24
Slovénie,2007,748402.0,497465560.0,95.49,662767.0,1513339433.0,144.79
Slovénie,2008,729077.0,590081278.0,101.59,643710.0,1821383056.0,154.18
Slovénie,2009,668606.0,257655500.0,102.84,558300.0,1769967607.0,151.8
Slovénie,2010,635590.0,213686878.0,103.55,489630.0,1491835430.0,150.4
Slovénie,2011,627472.0,178623013.0,105.65,424308.0,1692020534.0,150.41
Slovénie,2012,636401.0,227208895.0,108.99,362304.0,1553860177.0,151.38
Slovénie,2013,620057.0,206063842.0,110.9,302794.0,1431651949.0,151.08
Slovénie,2014,613704.0,241195496.0,112.84,249780.0,1423827513.0,151.69
Slovénie,2015,578791.0,211073857.0,114.1,210138.0,1204823831.0,151.62
Slovénie,2016,550552.0,232765459.0,115.58,176462.0,1197015136.0,152.44
Slovénie,2017,534097.0,277748632.0,118.25,143603.0,1270049731.0,154.11
Slovénie,2018,498713.0,303146509.0,119.12,122121.0,1275402545.0,154.41
Suisse,1996,36000.0,,9.37,4170820.0,,68.35
Suisse,1997,209000.0,,14.73,4284000.0,,75.17
Suisse,1998,590000.0,,23.89,4224155.0,,83.3
Suisse,1999,1053425.0,,42.8,4152889.0,,100.93
Suisse,2000,1707078.0,2244781657.0,64.57,4108216.0,8243530769.0,121.75
Suisse,2001,2154579.0,1642676923.0,73.0,4101109.0,8745205325.0,129.75
Suisse,2002,2314844.0,1653487821.0,78.74,4076936.0,9516149359.0,140.4
Suisse,2003,2601322.0,1579720000.0,84.33,4016468.0,11367692593.0,149.7
Suisse,2004,2485148.0,1661348387.0,84.91,3940514.0,12908870968.0,156.06
Suisse,2005,2808411.0,1623764000.0,91.89,3831019.0,12916800000.0,167.46
Suisse,2006,3102594.0,5189576000.0,99.36,3759661.0,13040760000.0,177.18
Suisse,2007,3558653.0,1992272500.0,108.71,3698132.0,14315856667.0,189.97
Suisse,2008,3895657.0,2109656481.0,116.33,3634891.0,16091998148.0,196.86
Suisse,2009,4057856.0,2102931193.0,120.39,3494419.0,16016523853.0,201.4
Suisse,2010,4221556.0,2073250000.0,123.25,3261186.0,16877715385.0,202.96
Suisse,2011,4232784.0,2699593258.0,127.43,3141204.0,19478083146.0,207.19
Suisse,2012,4280129.0,3478295745.0,132.07,2989639.0,18781468085.0,211.7
Suisse,2013,4192525.0,3127553763.0,133.86,2847777.0,19129819355.0,214.21
Suisse,2014,4818491.0,3660790217.0,142.73,2716652.0,20118710870.0,221.8
Suisse,2015,4180377.0,3228432969.0,136.23,2590734.0,19261442031.0,213.88
